1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8.29,8.64,8.95,9.25,9.63,10.05,10.35,10.66,10.91,11.26,11.58,12.08,12.49,12.47,12.5,12.6,12.96,12.93,13.12,13.45,13.81
5.97,6.19,6.47,6.69,7.02,7.29,7.68,7.97,8.35,8.68,8.98,9.3,9.68,9.9,9.91,10.06,10.32,10.37,10.5,10.93,11.2
27.9855247286,28.3564814815,27.7094972067,27.6756756757,27.1028037383,27.4626865672,25.7971014493,25.234521576,23.4647112741,22.9129662522,22.4525043178,23.0132450331,22.4979983987,20.6094627105,20.72,20.1587301587,20.3703703704,19.7989172467,19.9695121951,18.7360594796,18.8993482983
